Date,Volume,Adj Close
4/3/2007,6501800,472.6
4/2/2007,3448500,458.53
3/30/2007,3380200,458.16
3/29/2007,3988500,460.92
3/28/2007,4591600,461.88
3/27/2007,3741200,463.62
3/26/2007,4710300,465
3/23/2007,4111300,461.83
3/22/2007,5680700,462.04
3/21/2007,5798300,456.55
3/20/2007,3421500,445.28
3/19/2007,5197700,447.23
3/16/2007,5659100,440.85
3/15/2007,3944200,446.19
3/14/2007,8016900,448
3/13/2007,6377300,443.03
3/12/2007,3465400,454.75
3/9/2007,4977700,452.96
3/8/2007,5362800,454.72
3/7/2007,6534100,455.64
3/6/2007,7533700,457.55
3/5/2007,6355100,440.95
3/2/2007,6583600,438.68
3/1/2007,8685200,448.23
2/28/2007,8032300,449.45
2/27/2007,9312800,448.77
2/26/2007,3969900,464.93
2/23/2007,3882600,470.62
2/22/2007,5743900,475.85
2/21/2007,5640600,475.86
2/20/2007,4067600,472.1
2/16/2007,6177000,469.94
2/15/2007,4042400,461.47
2/14/2007,5698800,465.93
2/13/2007,4062600,459.1
2/12/2007,5754500,458.29
2/9/2007,4858600,461.89
2/8/2007,4076700,471.03
2/7/2007,4119800,470.01
2/6/2007,5321900,471.48
2/5/2007,7206900,467.16
2/2/2007,6286500,481.5
2/1/2007,15658700,481.75
1/31/2007,12206100,501.5
1/30/2007,4180500,494.32
1/29/2007,4775700,492.47
1/26/2007,5496500,495.84
1/25/2007,6368500,488.09
1/24/2007,6059300,499.07
1/23/2007,4665500,479.05
1/22/2007,5404300,480.84
1/19/2007,4978300,489.75
1/18/2007,5932000,487.83
1/17/2007,6699100,497.28
1/16/2007,7568900,504.28
1/12/2007,4473700,505
1/11/2007,7208200,499.72
1/10/2007,5968500,489.46
1/9/2007,5381400,485.5
1/8/2007,4754400,483.58
1/5/2007,6872100,487.19
1/4/2007,7887600,483.26
1/3/2007,7706500,467.59
12/29/2006,2559200,460.48
12/28/2006,3116200,462.56
12/27/2006,4231500,468.03
12/26/2006,2074300,457.53
12/22/2006,3988300,455.58
12/21/2006,6953300,456.2
12/20/2006,4367800,462.9
12/19/2006,6587000,468.63
12/18/2006,8016600,462.8
12/15/2006,5190800,480.3
12/14/2006,4748900,482.12
12/13/2006,4662100,478.99
12/12/2006,4181000,481.78
